Date,Price,Dividend
1953-01-01,26.18,1.4100
1953-02-01,25.86,1.4100
1953-03-01,25.99,1.4100
1953-04-01,24.71,1.4133
1953-05-01,24.84,1.4167
1953-06-01,23.95,1.4200
1953-07-01,24.29,1.4200
1953-08-01,24.39,1.4200
1953-09-01,23.27,1.4200
1953-10-01,23.97,1.4300
1953-11-01,24.50,1.4400
1953-12-01,24.83,1.4500
1954-01-01,25.46,1.4567
1954-02-01,26.02,1.4633
1954-03-01,26.57,1.4700
1954-04-01,27.63,1.4633
1954-05-01,28.73,1.4567
1954-06-01,28.96,1.4500
1954-07-01,30.13,1.4567
1954-08-01,30.73,1.4633
1954-09-01,31.45,1.4700
1954-10-01,32.18,1.4933
1954-11-01,33.44,1.5167
1954-12-01,34.97,1.5400
1955-01-01,35.60,1.5467
1955-02-01,36.79,1.5533
1955-03-01,36.50,1.5600
1955-04-01,37.76,1.5633
1955-05-01,37.60,1.5667
1955-06-01,39.78,1.5700
1955-07-01,42.69,1.5867
1955-08-01,42.43,1.6033
1955-09-01,44.34,1.6200
1955-10-01,42.11,1.6267
1955-11-01,44.95,1.6333
1955-12-01,45.37,1.6400
1956-01-01,44.15,1.6700
1956-02-01,44.43,1.7000
1956-03-01,47.49,1.7300
1956-04-01,48.05,1.7533
1956-05-01,46.54,1.7767
1956-06-01,46.27,1.8000
1956-07-01,48.78,1.8133
1956-08-01,48.49,1.8267
1956-09-01,46.84,1.8400
1956-10-01,46.24,1.8067
1956-11-01,45.76,1.7733
1956-12-01,46.44,1.7400
1957-01-01,45.43,1.7367
1957-02-01,43.47,1.7333
1957-03-01,44.03,1.7300
1957-04-01,45.05,1.7300
1957-05-01,46.78,1.7300
1957-06-01,47.55,1.7300
1957-07-01,48.51,1.7400
1957-08-01,45.84,1.7500
1957-09-01,43.98,1.7600
1957-10-01,41.24,1.7700
1957-11-01,40.35,1.7800
1957-12-01,40.33,1.7900
1958-01-01,41.12,1.7833
1958-02-01,41.26,1.7767
1958-03-01,42.11,1.7700
1958-04-01,42.34,1.7567
1958-05-01,43.70,1.7433
1958-06-01,44.75,1.7300
1958-07-01,45.98,1.7300
1958-08-01,47.70,1.7300
1958-09-01,48.96,1.7300
